0.0 , 4.2 , 11.0 , 8.1 , 10.3 , 5.4 , 8.1 , 6.0 , 6.7 , 3.2 , 6.0 , 7.2 , 5.4 , 8.2 , 11.7 , 8.1 , 3.2 , 7.8 , 9.2 , 7.8 , 6.4 ,
 4.2 , 0.0 , 8.9 , 8.1 , 6.3 , 5.4 , 10.0 , 9.5 , 10.8 , 6.3 , 9.5 , 9.1 , 5.4 , 5.1 , 11.4 , 6.4 , 2.0 , 3.6 , 7.8 , 8.5 , 10.6 ,
 11.0 , 8.9 , 0.0 , 5.0 , 6.3 , 14.3 , 18.7 , 12.1 , 17.1 , 14.1 , 17.0 , 8.6 , 6.1 , 4.2 , 5.1 , 3.0 , 10.8 , 9.2 , 2.2 , 17.5 , 15.5 ,     
 8.1 , 8.1 , 5.0 , 0.0 , 9.2 , 12.7 , 16.1 , 7.3 , 13.0 , 11.2 , 13.6 , 3.6 , 2.8 , 6.1 , 3.6 , 3.2 , 9.2 , 10.2 , 2.8 , 15.6 , 11.0 ,       
 10.3 , 6.3 , 6.3 , 9.2 , 0.0 , 11.0 , 16.0 , 14.2 , 17.0 , 12.6 , 15.8 , 12.1 , 8.1 , 3.2 , 11.0 , 6.1 , 8.2 , 4.1 , 7.0 , 14.0 , 16.4 ,    
 5.4 , 5.4 , 14.3 , 12.7 , 11.0 , 0.0 , 5.1 , 11.2 , 8.9 , 4.1 , 6.4 , 12.5 , 9.9 , 10.4 , 16.3 , 11.7 , 3.6 , 7.1 , 13.0 , 3.2 , 10.2 ,     
 8.1 , 10.0 , 18.7 , 16.1 , 16.0 , 5.1 , 0.0 , 12.2 , 7.1 , 5.0 , 4.1 , 14.9 , 13.4 , 15.1 , 19.7 , 15.8 , 8.1 , 12.2 , 17.1 , 2.8 , 9.5 ,   
 6.0 , 9.5 , 12.1 , 7.3 , 14.2 , 11.2 , 12.2 , 0.0 , 6.7 , 7.6 , 8.5 , 4.0 , 6.4 , 11.3 , 10.0 , 9.4 , 9.1 , 13.0 , 9.8 , 13.0 , 4.1 ,       
 6.7 , 10.8 , 17.1 , 13.0 , 17.0 , 8.9 , 7.1 , 6.7 , 0.0 , 5.0 , 3.0 , 10.4 , 11.0 , 14.9 , 16.3 , 14.1 , 9.2 , 14.2 , 15.0 , 9.1 , 2.8 ,    
 3.2 , 6.3 , 14.1 , 11.2 , 12.6 , 4.1 , 5.0 , 7.6 , 5.0 , 0.0 , 3.2 , 9.9 , 8.5 , 11.0 , 14.8 , 11.2 , 4.5 , 9.4 , 12.4 , 5.4 , 6.1 ,        
 6.0 , 9.5 , 17.0 , 13.6 , 15.8 , 6.4 , 4.1 , 8.5 , 3.0 , 3.2 , 0.0 , 11.7 , 11.2 , 14.1 , 17.1 , 14.0 , 7.6 , 12.5 , 15.1 , 6.1 , 5.4 ,     
 7.2 , 9.1 , 8.6 , 3.6 , 12.1 , 12.5 , 14.9 , 4.0 , 10.4 , 9.9 , 11.7 , 0.0 , 4.1 , 8.9 , 6.0 , 6.4 , 9.5 , 12.0 , 6.4 , 15.0 , 8.1 ,
 5.4 , 5.4 , 6.1 , 2.8 , 8.1 , 9.9 , 13.4 , 6.4 , 11.0 , 8.5 , 11.2 , 4.1 , 0.0 , 5.0 , 6.4 , 3.2 , 6.4 , 8.0 , 4.0 , 12.8 , 9.5 ,
 8.2 , 5.1 , 4.2 , 6.1 , 3.2 , 10.4 , 15.1 , 11.3 , 14.9 , 11.0 , 14.1 , 8.9 , 5.0 , 0.0 , 8.2 , 3.0 , 7.1 , 5.0 , 4.1 , 13.6 , 13.9 ,       
 11.7 , 11.4 , 5.1 , 3.6 , 11.0 , 16.3 , 19.7 , 10.0 , 16.3 , 14.8 , 17.1 , 6.0 , 6.4 , 8.2 , 0.0 , 5.4 , 12.7 , 13.0 , 4.1 , 19.2 , 14.0 ,  
 8.1 , 6.4 , 3.0 , 3.2 , 6.1 , 11.7 , 15.8 , 9.4 , 14.1 , 11.2 , 14.0 , 6.4 , 3.2 , 3.0 , 5.4 , 0.0 , 8.1 , 7.6 , 1.4 , 14.8 , 12.6 ,        
 3.2 , 2.0 , 10.8 , 9.2 , 8.2 , 3.6 , 8.1 , 9.1 , 9.2 , 4.5 , 7.6 , 9.5 , 6.4 , 7.1 , 12.7 , 8.1 , 0.0 , 5.0 , 9.4 , 6.7 , 9.4 ,
 7.8 , 3.6 , 9.2 , 10.2 , 4.1 , 7.1 , 12.2 , 13.0 , 14.2 , 9.4 , 12.5 , 12.0 , 8.0 , 5.0 , 13.0 , 7.6 , 5.0 , 0.0 , 8.9 , 10.0 , 14.2 ,      
 9.2 , 7.8 , 2.2 , 2.8 , 7.0 , 13.0 , 17.1 , 9.8 , 15.0 , 12.4 , 15.1 , 6.4 , 4.0 , 4.1 , 4.1 , 1.4 , 9.4 , 8.9 , 0.0 , 16.1 , 13.3 ,        
 7.8 , 8.5 , 17.5 , 15.6 , 14.0 , 3.2 , 2.8 , 13.0 , 9.1 , 5.4 , 6.1 , 15.0 , 12.8 , 13.6 , 19.2 , 14.8 , 6.7 , 10.0 , 16.1 , 0.0 , 11.0 ,   
 6.4 , 10.6 , 15.5 , 11.0 , 16.4 , 10.2 , 9.5 , 4.1 , 2.8 , 6.1 , 5.4 , 8.1 , 9.5 , 13.9 , 14.0 , 12.6 , 9.4 , 14.2 , 13.3 , 11.0 , 0.0 ,
